hero,x,y
ancient_apparition,8.79188959095,-9.15006238237
bane,-8.54610444355,1.84591447823
batrider,7.69348892407,-5.80328025711
chen,-8.43800479828,-6.73648704831
crystal_maiden,8.63620893283,-8.07549450489
dark_seer,3.37392861578,-3.7958907258
dazzle,1.41894779537,2.3474725116
death_prophet,-4.36415585421,-1.99378854677
disruptor,4.88466273602,5.92579879893
enchantress,10.530851486,0.268064061674
enigma,-1.47416509206,-5.41086834331
invoker,-5.50893992918,-5.36311354812
jakiro,7.00712841442,-7.14417232573
keeper_of_the_light,-3.0351278782,-3.21281820448
leshrac,-13.3179235609,-0.507623349159
lich,8.83227828615,-8.97790839944
lina,7.27861191293,-5.91971008039
lion,1.22295640361,-0.220782871726
nature%27s_prophet,-4.52593744659,5.01436244506
necrophos,1.26986642807,5.08322233514
ogre_magi,7.82956819626,0.431648737029
oracle,-4.70545775007,-1.70490306969
outworld_devourer,-5.60985179961,-1.98594558933
puck,-5.31164910773,6.25201262375
pugna,-6.15519900975,-8.78926516852
queen_of_pain,-3.12810694889,2.02032696236
rubick,-8.19497404175,-10.329553531
shadow_demon,-9.34503050321,-0.141538677984
shadow_shaman,-2.7730672335,-0.84804639971
silencer,-1.60699285832,6.53585008843
skywrath_mage,-4.39982471921,-12.5698910746
storm_spirit,3.8224382152,8.6688015507
techie,7.92728917985,-0.170880475669
tinker,12.1969786979,-0.845614600742
visage,2.83462340803,5.64379949324
warlock,-9.3485316576,-0.0166835829134
windranger,9.7649299678,-3.37832265713
winter_wyvern,6.90884653827,-8.05076105084
witch_doctor,3.06222938824,1.97708039918
zeus,-9.03670620126,-5.95443787348
abaddon,-4.37079395211,-0.739334379511
alchemist,7.83928782514,0.821427061924
axe,6.5224776632,5.0774499662
beastmaster,-8.18574100377,4.4897183192
brewmaster,4.02895485239,1.64217640368
bristleback,5.47223850022,1.93760275888
centaur_warrunner,-0.0865947113853,-1.68238847593
chaos_knight,-1.44766893924,-4.36106721569
clockwerk,11.3685062961,-2.05516745197
doom,0.665273670339,-0.530176232799
dragon_knight,5.53783846727,-8.02314593845
earth_spirit,-0.52066126514,-7.24020847905
earthshaker,1.48891618433,-8.39444783564
elder_titan,-0.44576096348,-6.69058207604
huskar,1.10414798282,2.3579590951
io,-6.62003595561,13.7318893872
kunkka,3.0704988508,9.80989006638
legion_commander,3.26815405053,-1.70442408855
lifestealer,-2.23572618248,2.6607270548
lycan,-8.03649925218,5.10925548888
magnus,0.975574853623,-3.44103452294
night_stalker,-8.40612379049,3.32101199928
omniknight,-8.33098402839,-6.76481106943
phoenix,-6.61958946523,13.7305480728
pudge,8.02292568278,5.24718668799
sand_king,1.74541757548,-8.5146676063
slardar,3.91657011423,12.201939005
spirit_breaker,0.896293404329,-3.54773712509
sven,3.24893865492,-5.5371349927
tidehunter,2.86411302058,10.088928391
timbersaw,7.7473779181,4.56348525487
tiny,-1.09140579207,-8.59210640651
treant_protector,-4.57588866453,5.12062280626
tusk,4.91061087564,1.41178137951
undying,1.34765228416,5.16513248552
wraith_king,-3.37182491175,1.70462506331
anti-mage,-6.82809697312,-8.17950044791
arc_warden,-0.376762674325,-5.7917621117
bloodseeker,0.0773823013033,2.26558900713
bounty_hunter,-2.06797933389,8.48437944025
broodmother,0.92962703448,9.37419904718
clinkz,7.64459471463,-4.62711705841
drow_ranger,9.61256596354,-3.67093592424
ember_spirit,6.0146596066,-5.35879135545
faceless_void,-4.96402925376,-3.23628261503
gyrocopter,8.80762870739,-1.41124409592
juggernaut,3.26660076949,-5.3572053366
lone_druid,-7.29711917615,6.90358946427
luna,-11.6279301745,4.56909380854
medusa,-2.21653976404,-9.55990666359
meepo,7.05969763089,-0.501444471302
mirana,-11.6526862548,4.57687720378
morphling,2.50920592779,11.1927445771
naga_siren,3.88249070059,11.4335862402
nyx_assassin,-2.58830978025,9.25704930827
phantom_assassin,-1.80473264637,9.78645351023
phantom_lancer,5.12751523047,-1.43911590864
razor,4.3148634559,6.0146333532
riki,-1.81698780295,8.07681612751
shadow_fiend,-7.43129583626,-1.99272242085
slark,4.95131189347,11.1795178004
sniper,10.4339690507,-2.46246740226
spectre,-5.87413265628,-0.218833646881
templar_assassin,-3.63807865613,8.63501697409
terrorblade,0.231629960765,-0.959908431777
troll_warlord,6.24794235979,4.99588047958
ursa,-7.38643269151,6.93950731965
vengeful_spirit,-4.38730567044,-12.489941869
venomancer,-3.78024484355,-10.0963220221
viper,-4.257279133,-10.2170789765
weaver,-2.53165896861,-5.81231187041
